product,weight
Novela histórica ambientada en Sevilla,0.64
Thriller mediterráneo bestseller,0.62
Guía de viaje por la Costa Brava,0.6
Libro de recetas tradicionales españolas,0.58
Manual de productividad consciente,0.56
Cómic gráfico ilustrado,0.54
Ensayo sobre innovación empresarial,0.52
Biografía de figura cultural,0.5
Álbum ilustrado infantil,0.48
Poesía contemporánea bilingüe,0.46
Curso de fotografía urbana,0.44
Agenda creativa con planner semanal,0.42
Libro interactivo para primeros lectores,0.4
