adjective,weight
Premium,0.9
Heritage,0.72
Everyday,0.95
Refined,0.82
Compact,0.83
Eco-friendly,0.78
Bespoke,0.62
Reliable,0.9
Contemporary,0.81
Luxury,0.68
Lightweight,0.74
Versatile,0.86
Cosy,0.63
Family_favourite,0.58
Festival_ready,0.5
Tailored,0.7
High_street,0.6
Artisan_crafted,0.55
Performance,0.77
Weatherproof,0.69
Quick_charge,0.66
Statement,0.52
Minimalist,0.7
Plant_based,0.48
Limited_edition,0.46
Plug_and_play,0.64
Smart_enabled,0.73
Outdoor_proof,0.61
Comfort_fit,0.75
Ultra_quiet,0.6
