Vui lòng để trước cửa,0.08
Gọi trước khi giao,0.06
Nhắn tin khi tới nơi,0.04
Để kiện hàng sau chậu cây trước nhà,0.05
Giao tại quầy lễ tân chung cư,0.05
Yêu cầu ký nhận khi giao hàng,0.03
Liên hệ khách trước khi gửi,0.03
Gửi kèm lời chúc,0.04
Hàng tặng - không kèm hóa đơn,0.04
Hàng dễ vỡ - xử lý nhẹ nhàng,0.05
Giao sau 17h,0.04
Vui lòng bấm chuông,0.03
Đi cửa sau; cửa trước đang sửa,0.02
Gộp cùng đơn #4821 nếu được,0.01
Nếu không ai nhận vui lòng gửi tủ locker,0.03
Gọi khi đến để mở thang máy,0.02
Tránh để hàng dưới nắng,0.02
Mã cổng bảo vệ 1234,0.03
Hàng dễ hỏng - giữ lạnh nếu phải chờ,0.02
Đóng gói thêm hộp bảo vệ cho thiết bị điện tử,0.015
Trang trí giấy gói thương hiệu,0.01
Dán hóa đơn thương mại bên ngoài kiện,0.01
Nếu khách vắng nhà gửi hộ hàng xóm căn 2B,0.02
Khách sẽ đưa phiếu gửi trả khi lấy hàng,0.005
Đừng gọi điện - bé đang ngủ,0.015
Gõ cửa nhẹ và đợi; có bệnh nhân đang nghỉ,0.008
Đặt thùng nằm ngang; bên trong là đĩa than,0.01
Chỉ giao khi đủ toàn bộ sản phẩm,0.012
Đánh dấu là quà tặng và ẩn giá trên phiếu,0.025
Thêm đá gel nếu vận chuyển quá hai ngày,0.007
Gọi điện trước khi giao 15 phút,0.03
Để hàng tại quầy lễ tân tòa nhà,0.03
Giao trong khung giờ tối,0.03
Hàng lạnh vui lòng giao nhanh,0.02
Để ở tủ khóa thông minh,0.02
Nhấn chuông một lần rồi chờ,0.02
Liên hệ bảo vệ để vào hầm xe,0.02
Không giao trước 8 giờ sáng,0.02
Nhận tại quán cà phê tầng trệt,0.02
Nếu mưa, vui lòng bọc kín,0.02
